Region;Variables;Inti;2000-01;2000-02;2000-03;2000-04;2000-05;2000-06;2000-07;2000-08;2000-09;2000-10;2000-11;2000-12;2001-01;2001-02;2001-03;2001-04;2001-05;2001-06;2001-07;2001-08;2001-09;2001-10;2001-11;2001-12;2002-01;2002-02;2002-03;2002-04;2002-05;2002-06;2002-07;2002-08;2002-09;2002-10;2002-11;2002-12;2003-01;2003-02;2003-03;2003-04;2003-05;2003-06;2003-07;2003-08;2003-09;2003-10;2003-11;2003-12;2004-01;2004-02;2004-03;2004-04;2004-05;2004-06;2004-07;2004-08;2004-09;2004-10;2004-11;2004-12;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02
Guad;TOT;Ensemble;77,4;76,5;76,6;76,7;76,9;76,9;77,2;77,4;78;77,9;77,7;77,6;77,9;78,1;78,7;78,8;79,1;79,4;79,8;80;79,8;79,8;79,8;79,8;80,4;80,8;80,7;80;80,1;80,6;81,2;81,2;81,7;81,8;81,8;82;82;81,7;82,2;82,8;82,8;82,7;83,1;83;83,4;82,8;82,6;83,3;83;82,8;83;83;83,4;83,9;84;84,1;84,1;84,2;84,5;85,7;85,9;85,6;85,4;85,6;86,3;86,6;87;87,1;87,6;86,9;86,8;87,1;86,98;87,37;87,75;88,14;88,29;88,29;88,6;88,83;88,6;88,37;88,52;89,29;89,52;89,44;88,67;88,37;89,29;89,37;89,52;89,21;89,98;89,98;89,75;90,37;90,6;90,75;90,37;90,44;90,98;91,13;91,75;92,21;92,67;92,13;92,67;91,83;91,21;90,9;91,67;91,52;91,67;91,75;91,52;91,52;91,67;91,83;92,13;92,6;93,19;93,31;93,65;93,14;93,76;93,81;94,42;95,04;95,54;94,6;94,39;95,68;96,09;96,27;96,66;96,63;96,93;96,34;96,52;96,86;97,01;96,48;96,4;97,45;97,68;97,9;98,22;98,42;98,19;98,5;98,61;98,78;98,44;98,41;98,78;99,5;99,68;99,34;100,1;99,69;99,37;99,45;99,37;99,76;99,1;98,08;98,8;99,48;99,13;99,88;100,22;99,77;99,55;99,48;99,65;100,46;99,87;99,04;99,28;100,1;99,26;99,3;99,96;100,46;100,16;100,48;100,52;101;100,1;99,16;99,68;99,93;99,31;99,31;99,56;99,95;99,82;100,07;100,26;100,4;100,32;99,33;100,01;100,54;100,31;100,44;101,02;100,69;100,65;100,71;100,86;100,95;100,51;100,42;100,27;101,86;100,97;101,25;101,96;101,61;101,86;102,09;102,18;102,38;102,18;101,6;102,01;102,69;101,75;101,9;102,99;103,06;103,26;103,34;103,04;103,62;103,04;102,75;102,55;103,97;103,77;104,38;104,1;;;;103,39;103,9;103,19;102,86;103,3;103,9;104,15;103,75
Guad;AHT;Alimentation hors tabac;72,6;69,9;69,9;69,7;70,3;70,1;70,7;70,8;72,6;73;73,8;72,3;72,6;72,8;73,9;73,5;74,7;75,8;76,7;77,1;76;76,4;76,2;75,5;77,1;78,1;77,6;75,3;74,7;75,6;76,9;76,8;78;78,2;78,2;77,9;78,4;77,1;78,1;79,3;79,1;80;80,5;80,7;81,4;80;80,4;81,4;81,1;79,6;79,2;78,7;79,2;80,6;80,7;80,3;80,5;81,3;82,4;84,5;84,1;83,3;82,1;81,9;81,8;82,6;83,5;83,1;83,6;82,5;82,1;82,9;82,07;82,29;82,36;81,49;81,56;82;82,51;83,23;83,16;82,65;83,23;83,16;83,23;82,87;83,02;83,67;83,81;83,74;83,74;83,67;86,21;86,5;85,56;85,05;85,56;86,21;86,5;86,57;87,15;87,08;86,79;87,66;88,68;89,62;90,93;89,62;89,47;89,33;91;89,76;89,11;89,11;89,11;89,18;89,33;89,69;90,27;90,58;91,12;90,27;90,74;90,9;91,72;91,31;91,27;92,18;92,37;92,63;92,4;91,47;91,88;92;92,02;91,29;91,83;92,12;92,52;93,13;93,44;93,73;93,7;93,74;95,14;94,56;93,85;93,77;94,46;95,25;95,53;95,48;95,98;97,1;97,56;96,85;97,4;97,25;96,91;96,67;97,31;97,8;97,53;97,09;97,88;98,02;98,09;97,6;97,9;97,97;98,11;97,37;97,49;98;97,21;97,93;98,87;98,87;99,36;98,98;99,4;99,3;99,1;99,59;98,97;99,85;99,29;100,44;100,92;100,93;101,29;100,9;100,73;100,14;100,41;100,91;100,75;101,05;100,66;101,23;101,85;102,07;101,98;102,36;102,66;101,99;101,99;101,57;101,3;101,84;102,11;102,52;102,76;103,6;104,21;105,21;105,51;105,06;105,13;104,75;104,53;104,52;104,55;104,79;105,12;105,62;105,61;106,02;106,15;105,75;106,03;106,14;106,31;106,09;106,41;106,78;107,06;107,13;107,39;107,62;107,68;108,29;108,63;;;;107,85;108,63;108,72;109,57;109,91;110,11;109,88;109,47
Guad;PF;Produits frais;75;66,6;65,4;65;68;66,1;68;68,2;74,3;75,5;78,5;73,1;72,4;73,6;77;76,7;79,4;83;85,7;86,1;80,7;82,1;79,9;76,5;82,2;86,4;83,9;74,5;70,9;73,7;78,5;77,7;80,4;81,1;81,4;79,7;80,4;76;79,6;83,2;82,3;85,1;87,1;87,6;89,7;84,3;85,8;89;87,4;81,5;79,4;78;79,3;85,5;84,8;83,9;85,4;86,4;90,9;96,7;91,8;89,8;84;81,9;81,6;83,6;89,4;88,7;88,5;87,6;82,4;85,6;81,04;80,89;78,99;76,78;79,14;79,37;81,19;86,37;85,15;82,49;83,93;83,32;83,32;83,32;82,26;84,39;81,04;83,93;83,7;84,39;92,91;92;89,64;87,51;85,23;85,3;86,06;81,42;80,51;82,71;82,11;85,07;85,68;90,93;95,35;89,64;88,35;83,78;83,09;84,31;81,65;84,08;87,51;85,07;85,23;89,33;90,93;93,24;94,14;91,32;90,4;94,2;96,05;94,8;94,23;98,81;99,01;99,08;98,46;94,08;93,9;94,56;92,87;88,49;91,47;93,74;93,37;95,41;95,64;95,66;94,25;95,46;100,5;96,22;91,99;91,14;92,71;96,69;96,45;96,47;98,7;102,38;103,65;98,99;100,28;100,04;96,13;95,41;97,76;98,73;96,21;93,92;97,03;96,82;96,36;95,09;95,81;94,49;94,66;92,52;92,24;94,52;90,1;93,86;97,85;96,93;100,9;98,16;100,39;97,92;96,47;97,97;95,38;98,81;97,35;101,4;102,59;103,32;105,55;102,85;100,07;100,58;100,94;98,79;99,59;98,92;97,61;100,47;102,56;106,94;109,11;110,22;109,39;105,77;102,64;98,68;97,39;100,12;102,03;104,49;106,99;114,85;119,5;124,41;122,26;118,15;115,82;112,75;109,03;109,02;107,21;110,4;113;113,85;115,47;118,44;118,41;115,24;115,24;113,28;112,73;113,72;116,85;118,97;119,21;122,77;126,72;124,95;125,41;128,84;126,04;;;;123,63;128,8;129,26;131,49;137,29;135,1;133,38;128,15
Guad;APA;Autres produits alimentaires;73,1;72,4;72,9;72,8;72,5;73;73,1;73,2;73,4;73,6;73,5;73,3;74;73,9;74,3;73,8;74,6;74,8;75,2;75,4;75,7;76;76,3;76,6;76,8;76,8;77;76,9;77,3;77,7;77,8;78;78,7;78,7;78,5;78,7;79,2;78,9;79,1;79,5;79,5;79,7;79,8;79,9;80,2;80;80,2;80,4;80,5;80,5;80,7;80,5;80,6;80,5;80,8;80,5;80,5;81,1;81,1;81,9;82,5;81,9;81,6;81,9;81,7;82,3;82,3;81,9;82,6;81,4;82;82,2;82,15;82,51;82,95;82,29;82;82,37;82,59;82,51;82,66;82,59;82,95;83,02;83,09;82,66;83,09;83,39;84,33;83,6;83,68;83,46;84,77;85,28;84,7;84,48;85,5;86,3;86,44;87,46;88,33;87,9;87,68;88,12;89,13;89,21;89,93;89,5;89,57;90,37;92,48;90,73;90,44;90,08;89,35;89,86;90,08;89,72;90,01;89,95;90,4;90,04;90,85;90,11;90,67;90,48;90,56;90,56;90,75;91,06;90,93;90,85;91,41;91,39;91,84;92,01;91,95;91,75;92,34;92,6;92,93;93,28;93,59;93,34;93,84;94,18;94,35;94,46;94,94;94,92;95,34;95,27;95,33;95,82;96,07;96,35;96,72;96,58;97,14;97,02;97,23;97,6;97,89;97,92;98,13;98,36;98,56;98,27;98,45;98,89;99,02;98,65;98,88;98,92;99,09;99;99,13;99,38;98,95;99,19;99,15;99,66;99,78;100,01;99,91;100,12;99,79;100,19;100,49;100,3;100,19;100,4;100,54;99,82;100,07;100,9;100,62;101,04;100,76;101,05;101,49;101,21;100,84;101,13;101,56;101,23;101,59;101,57;101,42;101,71;101,79;101,97;101,95;101,99;102,13;102,68;103,24;103,16;103,47;103,37;103,51;103,51;103,72;103,66;103,76;104,22;104,04;104,19;104,33;104,24;104,54;104,88;105,13;104,78;104,79;104,97;105,25;104,93;104,79;105,25;105,25;105,57;106,24;;;;105,63;105,95;106;106,7;106,47;106,91;106,83;106,88
Guad;T;Tabac;22,8;22,8;22,8;22,8;22,9;23;23;23;23;24;24;24;24;24;26,6;26,6;26,6;26,6;26,6;26,6;26,6;26,6;26,6;26,6;29,6;29,6;29,7;29,7;29,7;29,7;29,7;29,7;29,7;29,7;29,7;29,7;33;33;33;33;33,1;33,1;33,1;33,3;33,3;33,3;35,9;35,9;35,9;37,4;39,6;39,6;39,6;39,6;39,6;39,6;39,6;39,6;39,6;39,6;39,6;39,6;39,6;41,2;41,2;41,2;41,2;41,2;46;46;46;46;45,96;45,96;45,96;45,96;45,96;45,96;45,96;45,96;45,96;45,96;45,96;45,96;45,96;45,96;51,45;51,75;51,75;51,75;51,75;51,85;53,41;53,41;53,41;53,41;54,33;54,33;54,33;54,33;54,33;54,33;54,33;54,33;54,33;54,33;54,33;54,33;54,33;61,59;62,21;61,59;78,53;78,53;78,53;78,53;78,55;78,55;78,57;78,87;81,79;81,79;81,79;81,79;82,15;82,15;82,15;82,15;82,15;82,15;81,97;81,97;82,52;83,87;83,87;83,87;84,81;84,81;84,81;84,57;83,41;83,41;83,41;89,08;90,43;90,42;90,42;90,42;90,42;90,42;90,42;90,42;90,56;90,56;94,06;94,22;94,22;94,22;93,99;93,99;94,06;94,06;94,06;95,52;96,34;96,34;95,85;95,79;95,88;98,84;99,38;99,61;99,62;99,63;99,87;99,94;99,94;99,52;99,6;99,6;99,6;99,6;99,6;99,7;100,17;100,17;100,17;100,19;100,19;100,19;100,19;100,19;100,4;100,7;100,74;101,07;101,07;100,95;100,95;101,31;101,31;101,36;101,58;101,61;100,35;100,35;100,35;101,85;101,89;101,98;101,97;102,76;102,76;103,01;103,36;104,67;106,04;108,72;110,93;116,26;118,24;118,24;118,24;118,24;118,24;118,24;118,24;118,24;118,18;118,18;119,04;122,16;122,98;123,24;123,71;123,71;123,83;123,83;124,54;127,42;127,62;128,08;130,85;;;;134,89;134,89;135,7;136,11;137,03;139,07;139,69;140,65
Guad;PM;Produits manufacturés;92,6;92,4;92,5;93;92,9;92,9;93;92,9;92,8;91,9;90,2;91,2;91,7;91,1;92,2;93,1;93;93,1;93,2;93,4;93,6;92,9;92,6;93,3;93,9;93,9;92,9;92,8;94;94,2;94,4;94,1;94,2;93,9;93,5;94,3;93,9;93;93,7;94,4;94,4;94,1;94,1;93,9;93,9;93;91,9;93;92,2;91,4;92,4;92,8;93,3;93,6;93,9;94,2;94,4;93,3;93;94,3;95,1;95,1;94,6;94,3;94,8;95,2;95,5;95,8;96,2;94,4;94,1;95,1;94,78;94,22;95,15;96,45;96,91;96,35;96,17;95,43;94,69;94,32;94,69;96,54;96,72;96,63;94,41;94,13;96,26;96,35;96,35;95,33;95,15;94,96;94,59;95,8;96,35;95,8;93,95;94,22;95,33;95,43;95,71;95,89;96,08;94,41;94,96;97,28;96,26;96,17;97,47;97,1;96,82;97,28;97,19;97;97,47;96,91;97,28;98,59;97,42;97,42;98,2;98,75;99,27;99,38;99,33;99,2;99,36;98,24;97,51;98,67;98,48;98,24;98,96;99,48;99,5;99,22;99,3;99,25;99,11;98,63;98,73;99,74;98,92;98,29;99,27;99,73;99,74;100,06;99,95;99,4;99,75;98,58;98,92;100,1;99,35;98,53;100,22;100,44;100,3;100,44;100,23;100,14;100,72;97,45;99,9;100,58;97,61;99,26;100,64;100,23;100,37;100,17;100,01;100,73;100,76;98,48;99,13;100,17;97,48;98,09;100,91;101,26;100,25;100,61;100,39;100,49;100,61;99,24;100,44;100,23;98,21;99,06;100,05;100,75;100,67;100,55;100,48;100,64;101,21;98,32;99,74;100,72;98,69;98,56;100,3;100,42;100,45;100,49;100,69;100,88;100,82;99,49;98,21;100,26;98,34;98,54;100,38;100,31;100,56;100,88;100,87;100,77;100,95;99,39;99,14;101,05;98,99;99,11;101,05;101,26;101,39;100,92;100,42;100,71;100,96;99,86;99,02;101,39;100,09;100,73;101,41;;;;101,04;101,43;101,31;100,08;101,05;101,55;101;100,02
Guad;HC;Habillement et chaussure;112;110;111;112,8;112,8;112,7;112,3;112,2;111,8;107,6;102;106,2;106,7;103,3;107,2;111,1;110,7;110,1;110,1;110,2;110,5;108,4;106,2;109;110,3;110,1;106;105,5;109;109,8;110;108,3;108,2;106,9;105,8;108,9;106;102,8;104,5;106,9;106,9;106,2;106,7;106,3;104,9;101,1;96,4;100,8;97,9;94,6;98,3;100;101;101,8;101,8;102,7;103,1;99,5;98,4;102;104;104,2;101,9;101;102,2;103,5;104,1;104,7;105,4;101,1;100,5;103,5;100,53;98,05;100,75;105,82;107,06;105,59;104,47;102,22;101,88;98,16;99,06;105,37;105,25;104,58;97,49;96,25;103,23;103,34;102,67;99,51;98,05;96,7;95,57;99,63;100,86;98,73;92,31;93,32;97,15;97,37;97,71;98,61;99,29;94,22;94,56;101,43;99,18;98,39;101,43;101,54;101,31;101,88;102,1;101,31;101,76;98,73;99,96;104,01;97,8;96,46;102,27;105,62;106,66;106,6;105,74;105,36;105,76;101,19;98,62;104,67;102,8;99,86;103,05;104,69;105,05;103,82;102,5;101,93;100,48;98,79;99,88;105,18;98,51;94,29;99,3;102,4;102,38;103,68;103,02;101,75;103,46;95,75;97,86;102,55;97,36;94,77;100,53;102,04;102,82;104,1;103,2;102,32;104,8;90,61;102,7;105,17;90,53;96,92;102,54;102,54;102,85;103,31;102,54;102,99;103,04;93,43;97,16;103,01;89,97;92,21;102,36;103,08;102,99;103,17;102,1;102,42;102,63;95,63;101,58;101,85;89,51;96,62;101,12;102,56;103,33;102,63;101,97;101,82;104,49;89,23;97,87;102,28;91,63;92,49;101,26;102,39;102;102,68;102,95;103,57;103,24;95,64;92,16;103,67;90,08;92,28;101,69;101,06;102;103,69;103,65;101,99;101,83;92,73;94,04;103,11;93,87;92,06;102,15;103,54;104,41;101,13;98,89;100,43;101,37;96,27;92,31;104,12;96,3;99,2;103,05;;;;101,15;102,49;104,49;96,55;102,7;104,14;99,89;95,66
Guad;PS;Produits de santé;122,2;121,9;121,6;121,7;121,5;121,6;121,6;121,2;121,7;121,7;121,5;121,3;121,3;122,3;121,8;122,1;122,1;122,2;122,2;122,3;122,3;122,3;121,6;121,1;121,9;121,9;122,1;122,1;122,3;122,2;122,6;122,8;122,8;122,1;121,9;122,1;121,5;121,3;122,3;122,2;122,1;121,9;121,9;122,2;122,4;122,2;122,2;121,9;120,7;120,6;120,6;120,8;120,8;120,8;120,8;120,7;120,7;120;120;120;120,1;120,2;120,2;120,5;120,5;120,6;120,2;120,1;120,1;120,1;119,9;119,7;119;118,63;119,86;118,39;118,26;118,14;118,14;118,02;109,69;116,3;116,92;116,18;115,81;116,67;115,94;117,04;116,18;116,06;117,65;116,92;116,55;115,57;115,57;114,71;113,98;112,75;112,26;113,48;114,83;114,83;113,85;113,48;112,99;112,99;112,99;112,87;111,77;110,3;110,67;111,89;111,65;111,65;110,79;110,67;111,52;112,26;113,36;113,99;113,95;113,91;113,85;113,42;113,37;113,16;113,33;113,31;113,46;112,92;112,17;112,23;112,2;112,31;112,28;112,24;112,54;112,57;112,58;112,4;112,41;112,38;112,17;112,09;111,25;111,02;110,61;110,56;109,16;109,91;110,84;111,62;109,31;109,23;109,05;110,87;107,6;107,89;109,3;110,12;110,44;110,41;106,47;106,34;106,35;105,18;104,86;105,23;104,45;103,53;105,06;104,31;104,7;103,19;103,09;103,02;103,08;103,07;102,68;102,53;100,5;100,24;101,6;101,52;101,25;100,1;98,08;98,82;100,09;99,54;99,17;99,11;98,81;98,62;98,52;98,33;98,14;97,95;97,43;97,12;97,31;97,15;96,88;96,72;94,92;94,72;94,56;95,31;95,06;95,04;95,11;94,79;94,72;94,43;94,32;94,11;93,18;92,34;92,49;92,75;92,3;92,45;92,84;92,55;92,79;92,98;93,02;92,54;92,33;91,88;91,83;91,81;92,28;91,65;91,36;91,21;91,07;91,49;90,73;90,92;91,05;90,49;90,29;89,97;90,07;89,7;89,6;89,4;89,07;88,93;89,47;89,44;89,2;89,14
Guad;AMP;Autres produits manufacturés;84,5;84,8;84,7;84,9;84,7;84,7;85;84,9;84,9;84,8;84,2;84,2;84,8;84,9;85,3;85,4;85,4;85,7;85,8;86;86,1;86;86,1;86,5;86,7;86,7;86,5;86,6;87,2;87,4;87,5;87,6;87,6;87,6;87,4;87,7;88,1;87,8;88,1;88,4;88,4;88,2;88,1;88;88,1;88,1;88;88,2;88,1;88;88,2;88,4;88,7;88,8;89,3;89,5;89,6;89,2;89,2;89,9;90,3;90,3;90,3;90,3;90,4;90,8;90,9;91,1;91,3;90,3;90,1;90,7;91,26;91,35;91,6;91,85;92,02;91,77;91,94;91,6;91,52;91,69;91,85;92,36;92,7;92,7;92,11;91,94;92,78;92,7;92,95;92,61;92,87;93,29;92,95;93,46;93,96;93,96;93,54;93,46;93,54;93,71;94,05;94,05;94,22;93,54;94,22;95,14;94,64;94,89;95,73;94,89;94,72;95,06;94,89;94,98;95,4;95,65;95,65;96,08;95,83;96,1;95,94;96,02;96,48;96,65;96,73;96,65;96,77;96,29;95,94;96,2;96,33;96,61;96,9;97,24;97,17;97,05;97,42;97,49;97,6;97,32;97,24;97,49;97,84;97,9;98,2;98,17;98,31;98,39;98,3;97,79;98,1;98,14;98,18;98,59;99;98,45;99,31;99,2;98,83;98,75;99,02;99,1;99,33;98,15;98,84;99,17;98,39;99,31;99,81;99,34;99,43;99,22;99,18;100,03;100,05;99,05;99,18;99,34;98,76;99,11;100,54;100,85;99,58;100,12;100,25;100,24;100,24;99,96;100,33;100;99,67;99,5;100,03;100,81;100,57;100,6;100,76;101,1;101,34;100,31;100,66;101,22;100,93;100,62;101,39;101,13;101,32;101,24;101,46;101,7;101,69;101,4;100,28;100,95;101,15;101,22;101,95;101,91;102,22;102,3;102,18;102,45;102,69;102,21;101,56;102,64;101,57;102,25;103,04;103,06;102,95;103,11;102,91;103,06;103,27;102,59;102,38;103,39;103,04;103,54;103,82;;;;103,85;104,21;103,71;103,58;103,59;104,03;104,13;103,52
Guad;E;Energie;66,9;66,9;66,9;66,8;67,4;67,9;67,9;69,7;69,7;70,4;70,4;71,2;71,3;71,4;71,4;71,5;71,5;71,5;71,5;71,7;71,9;72,1;72,6;72,4;71;70,8;70,8;70,8;71,2;72,2;72,2;72,2;72,2;72,2;73,2;73,2;71,4;71,4;73,1;73,4;73,8;71,7;71,5;71,5;72,1;72,6;71,3;71,3;72,2;72,2;72,3;72,5;73,8;74,3;74,3;74,9;75,1;76,3;76,6;77,2;77,2;76;77,5;79,6;85,2;84,9;85,6;87,4;87,9;88,1;87,2;85,5;85,53;87,62;89,06;90,56;91,02;92,26;94,22;95,14;94,94;93,37;92,59;92,59;94,16;93,31;89,45;88,53;90,56;91,67;91,93;92,46;92,33;91,93;91,87;92,52;92,85;93,11;93,37;93,37;93,83;95,33;98,02;100,17;100,89;98,93;98,93;84,87;80,49;77,29;76,11;76,11;76,11;76,11;76,11;76,11;77,22;79,45;79,45;79,56;81,63;81,63;81,63;81,63;81,63;81,63;85,94;90,17;90,36;90,52;90,67;92,19;96,04;101,37;100,68;104,3;106,97;105,01;103,39;105,39;103,3;105,22;103,27;103,11;103,94;106,78;108,16;111,05;110,49;107,75;107,46;108,59;109,08;108,99;107,83;108,72;108,75;109,16;110,92;109,21;107,37;106,89;106,38;109,18;108,54;107,83;105,7;105,02;106,34;105,73;105,45;104,64;105,67;106,44;108,22;108,61;107,25;107,66;105,78;103,86;100,14;97,17;99,07;101,77;103,07;103,8;104,08;103,61;101,51;96,73;95,4;93,66;94,7;91,64;90,72;93,25;94,11;95,8;97,18;95,02;96,57;95,17;97,39;94,95;100,59;101,47;100,96;98,9;100,4;97,63;96,11;96,26;95,27;100,1;100,29;102,6;102,07;103,8;102,52;102,27;104,29;107,72;106,66;107,16;107,01;108,69;110,4;104,33;101,71;102,01;104,24;106,68;109,78;112,49;107,9;109,97;107,85;109,96;109,3;109,77;110,6;110,07;107,09;98,41;94,45;96,8;100,44;102,46;101,47;100,54;101,06;100,75;105,59;108,24
